,iso_code,location,region,date,week,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k
1,ABW,Aruba,South/Latin America,3/13/2020,1,2,2,0,0,18.733,18.733,0,0,NA,NA,NA,NA,,106766,584.8,41.2,13.085,7.452,35973.781,NA,NA,11.62,NA,NA,NA,NA
2,ABW,Aruba,South/Latin America,3/20/2020,2,4,2,0,0,37.465,18.733,0,0,NA,NA,NA,NA,,106766,584.8,41.2,13.085,7.452,35973.781,NA,NA,11.62,NA,NA,NA,NA
3,ABW,Aruba,South/Latin America,3/24/2020,2,12,8,0,0,112.395,74.93,0,0,NA,NA,NA,NA,,106766,584.8,41.2,13.085,7.452,35973.781,NA,NA,11.62,NA,NA,NA,NA
4,ABW,Aruba,South/Latin America,3/25/2020,2,17,5,0,0,159.227,46.831,0,0,NA,NA,NA,NA,,106766,584.8,41.2,13.085,7.452,35973.781,NA,NA,11.62,NA,NA,NA,NA
5,ABW,Aruba,South/Latin America,3/26/2020,2,19,2,0,0,177.959,18.733,0,0,NA,NA,NA,NA,,106766,584.8,41.2,13.085,7.452,35973.781,NA,NA,11.62,NA,NA,NA,NA
6,ABW,Aruba,South/Latin America,3/27/2020,3,28,9,0,0,262.256,84.296,0,0,NA,NA,NA,NA,,106766,584.8,41.2,13.085,7.452,35973.781,NA,NA,11.62,NA,NA,NA,NA
7,ABW,Aruba,South/Latin America,3/28/2020,3,28,0,0,0,262.256,0,0,0,NA,NA,NA,NA,,106766,584.8,41.2,13.085,7.452,35973.781,NA,NA,11.62,NA,NA,NA,NA
8,ABW,Aruba,South/Latin America,3/29/2020,3,28,0,0,0,262.256,0,0,0,NA,NA,NA,NA,,106766,584.8,41.2,13.085,7.452,35973.781,NA,NA,11.62,NA,NA,NA,NA
9,ABW,Aruba,South/Latin America,3/30/2020,3,50,22,0,0,468.314,206.058,0,0,NA,NA,NA,NA,,106766,584.8,41.2,13.085,7.452,35973.781,NA,NA,11.62,NA,NA,NA,NA
10,ABW,Aruba,South/Latin America,4/1/2020,3,55,5,0,0,515.145,46.831,0,0,NA,NA,NA,NA,,106766,584.8,41.2,13.085,7.452,35973.781,NA,NA,11.62,NA,NA,NA,NA
